CAPITOL1_R181_C1,Capitol 1. Rind 1.8.1  ,dec/DataSet/Data/CAPITOL1_R181_C1
CAPITOL1_R181_C2,Capitol 1. Rind 1.8.1  ,dec/DataSet/Data/CAPITOL1_R181_C2
CAPITOL1_R182_C1,Capitol 1. Rind 1.8.2  ,dec/DataSet/Data/CAPITOL1_R182_C1
CAPITOL1_R182_C2,Capitol 1. Rind 1.8.2  ,dec/DataSet/Data/CAPITOL1_R182_C2
CAPITOL1_R183_C1,Capitol 1. Rind 1.8.3  ,dec/DataSet/Data/CAPITOL1_R183_C1
CAPITOL1_R183_C2,Capitol 1. Rind 1.8.3  ,dec/DataSet/Data/CAPITOL1_R183_C2
CAPITOL1_R184_C1,Capitol 1. Rind 1.8.4  ,dec/DataSet/Data/CAPITOL1_R184_C1
CAPITOL1_R191_C1,Capitol 1. Rind 1.9.1  ,dec/DataSet/Data/CAPITOL1_R191_C1
CAPITOL1_R192_C1,Capitol 1. Rind 1.9.2  ,dec/DataSet/Data/CAPITOL1_R192_C1
CAPITOL1_R193_C1,Capitol 1. Rind 1.9.3  ,dec/DataSet/Data/CAPITOL1_R193_C1
CAPITOL1_R1101_C1,Capitol 1. Rind 1.10.1  ,dec/DataSet/Data/CAPITOL1_R1101_C1
CAPITOL1_R1102_C1,Capitol 1. Rind 1.10.2  ,dec/DataSet/Data/CAPITOL1_R1102_C1
CAPITOL1_R1103_C1,Capitol 1. Rind 1.10.3  ,dec/DataSet/Data/CAPITOL1_R1103_C1
CAPITOL1_R1111_C1,Capitol 1. Rind 1.11.1  da,dec/DataSet/Data/CAPITOL1_R1111_C1
CAPITOL1_R1111_C2,Capitol 1. Rind 1.11.1  nu,dec/DataSet/Data/CAPITOL1_R1111_C2
CAPITOL1_R1112_C1,Capitol 1. Rind 1.11.2  da,dec/DataSet/Data/CAPITOL1_R1112_C1
CAPITOL1_R1112_C2,Capitol 1. Rind 1.11.2  nu,dec/DataSet/Data/CAPITOL1_R1112_C2
CAPITOL1_R1113_C1,Capitol 1. Rind 1.11.3  da,dec/DataSet/Data/CAPITOL1_R1113_C1
CAPITOL1_R1113_C2,Capitol 1. Rind 1.11.3  nu,dec/DataSet/Data/CAPITOL1_R1113_C2
CAPITOL1_R1121_C1,Capitol 1. Rind 1.12.1  col 1,dec/DataSet/Data/CAPITOL1_R1121_C1
CAPITOL1_R1121_C2,Capitol 1. Rind 1.12.1  col 2,dec/DataSet/Data/CAPITOL1_R1121_C2
CAPITOL1_R1121_C3,Capitol 1. Rind 1.12.1  col 3,dec/DataSet/Data/CAPITOL1_R1121_C3
CAPITOL1_R1122_C1,Capitol 1. Rind 1.12.2   col 1,dec/DataSet/Data/CAPITOL1_R1122_C1
CAPITOL1_R1122_C2,Capitol 1. Rind 1.12.2   col 2,dec/DataSet/Data/CAPITOL1_R1122_C2
CAPITOL1_R1122_C3,Capitol 1. Rind 1.12.2   col 3,dec/DataSet/Data/CAPITOL1_R1122_C3
CAPITOL1_R1123_C1,Capitol 1. Rind 1.12.3   col 1,dec/DataSet/Data/CAPITOL1_R1123_C1
CAPITOL1_R1123_C2,Capitol 1. Rind 1.12.3   col 2,dec/DataSet/Data/CAPITOL1_R1123_C2
CAPITOL1_R1123_C3,Capitol 1. Rind 1.12.3   col 3,dec/DataSet/Data/CAPITOL1_R1123_C3
CAPITOL1_R1124_C1,Capitol 1. Rind 1.12.4   col 1,dec/DataSet/Data/CAPITOL1_R1124_C1
CAPITOL1_R1124_C2,Capitol 1. Rind 1.12.4   col 2,dec/DataSet/Data/CAPITOL1_R1124_C2
CAPITOL1_R1124_C3,Capitol 1. Rind 1.12.4   col 3,dec/DataSet/Data/CAPITOL1_R1124_C3
CAPITOL1_R1125_C1,Capitol 1. Rind 1.12.5   col 1,dec/DataSet/Data/CAPITOL1_R1125_C1
CAPITOL1_R1125_C2,Capitol 1. Rind 1.12.5   col 2,dec/DataSet/Data/CAPITOL1_R1125_C2
CAPITOL1_R1125_C3,Capitol 1. Rind 1.12.5   col 3,dec/DataSet/Data/CAPITOL1_R1125_C3
CAPITOL1_R1126_C1,Capitol 1. Rind 1.12.6   col 1,dec/DataSet/Data/CAPITOL1_R1126_C1
CAPITOL1_R1126_C2,Capitol 1. Rind 1.12.6   col 2,dec/DataSet/Data/CAPITOL1_R1126_C2
CAPITOL1_R1126_C3,Capitol 1. Rind 1.12.6   col 3,dec/DataSet/Data/CAPITOL1_R1126_C3
CAPITOL1_R1127_C1,Capitol 1. Rind 1.12.7   col 1,dec/DataSet/Data/CAPITOL1_R1127_C1
CAPITOL1_R1127_C2,Capitol 1. Rind 1.12.7   col 2,dec/DataSet/Data/CAPITOL1_R1127_C2
